0.03;0.88;0.48;0.82;
0.44;0.52;0.34;0.51;
0.85;0.27;0.97;0.45;
0.48;0.13;0.01;0.61;
0.77;0.92;0.65;0.75;
0.51;0.75;0.65;0.01;
0.35;0.03;0.66;0.30;
0.16;0.68;0.37;0.26;
0.88;0.79;0.35;0.18;
0.99;0.84;0.51;0.14;
0.70;0.65;0.98;0.39;
0.35;0.77;0.11;0.62;
0.51;0.38;0.41;0.76;
0.49;0.28;0.90;0.79;
0.55;0.03;0.99;0.73;
0.81;0.84;0.10;0.17;
0.10;0.28;0.79;0.48;
1.00;0.58;0.31;0.82;
0.55;0.88;1.00;0.14;
0.31;0.40;0.52;0.38;
0.29;0.12;0.11;0.11;
0.38;0.54;0.88;0.02;
0.83;0.43;0.21;0.75;
0.24;0.67;0.70;0.71;
0.13;0.70;0.50;0.88;
0.35;0.29;0.02;0.45;
0.98;0.92;0.87;0.96;
0.99;0.14;0.58;0.32;
0.93;0.11;0.19;0.84;
0.24;0.63;0.97;0.54;
0.03;0.67;0.51;0.40;
0.32;0.80;0.47;0.80;
0.48;0.70;0.51;0.54;
0.20;0.14;0.76;0.64;
0.93;0.91;0.76;0.35;
0.49;0.30;0.43;0.58;
0.95;0.04;0.66;0.32;
0.29;0.59;0.16;0.34;
0.05;0.10;0.18;0.09;
0.38;0.69;0.85;0.34;
0.09;0.67;0.75;0.89;
0.89;0.12;0.07;0.19;
0.16;0.18;0.75;0.81;
0.38;0.20;0.73;0.10;
0.12;0.92;0.76;0.60;
0.03;0.72;0.77;0.21;
0.43;0.12;0.32;0.42;
0.29;0.51;0.16;0.37;
0.98;0.43;0.76;0.98;
0.13;0.50;0.73;0.82;
0.96;0.53;0.70;0.86;
0.93;0.14;0.48;0.89;
0.20;0.84;0.91;0.95;
0.52;0.21;0.32;0.56;
0.24;0.53;0.81;0.38;
0.85;0.29;0.63;0.51;
0.16;0.14;0.83;0.28;
0.45;0.58;0.87;0.17;
0.16;0.69;0.34;0.29;
0.62;0.75;0.19;0.61;
0.99;0.11;0.80;0.75;
0.91;0.95;0.82;0.54;
0.07;0.20;0.55;0.71;
0.39;0.35;0.64;0.65;
0.79;0.54;0.21;0.57;
0.85;0.65;0.22;0.99;
0.25;0.11;0.61;0.72;
0.87;0.46;0.25;0.32;
0.58;0.50;0.88;0.50;
0.28;0.67;0.17;0.41;
0.46;0.90;0.96;0.56;
0.66;0.96;0.25;0.81;
0.54;0.35;0.69;0.18;
0.75;0.18;0.73;0.69;
0.93;0.94;0.30;0.29;
0.03;0.33;0.57;0.58;
0.91;0.84;0.98;0.22;
0.70;0.23;0.82;0.13;
0.44;0.44;0.65;0.37;
0.94;0.21;0.93;0.38;
0.28;0.96;0.37;0.44;
0.19;0.34;0.40;0.04;
0.79;0.26;0.89;0.77;
0.64;0.05;0.45;0.72;
0.51;0.84;0.25;0.96;
0.50;0.26;0.79;0.27;
0.38;0.09;0.46;0.01;
0.41;0.22;0.60;0.52;
0.98;0.39;0.72;0.36;
0.19;0.67;0.30;0.13;
0.24;0.63;0.61;0.74;
0.92;0.24;0.73;0.37;
0.55;0.11;0.29;0.69;
0.86;0.98;0.82;0.05;
0.06;0.12;0.65;0.18;
0.75;0.49;0.87;0.82;
0.81;0.47;0.87;0.61;
0.51;0.09;0.93;0.67;
0.77;0.80;0.86;0.16;
0.49;0.98;0.16;0.32;
