0.03;0.88;one
0.44;0.52;two
0.85;0.27;three
0.48;0.13;four
0.77;0.92;five
0.51;0.75;six
0.35;0.03;seven
0.16;0.68;eight
0.88;0.79;nine
0.99;0.84;ten
0.70;0.65;eleven
0.35;0.77;twelve
0.51;0.38;thirteen
0.49;0.28;fourteen
0.55;0.03;fifteen
0.81;0.84;sixteen
0.10;0.28;seventeen
1.00;0.58;eighteen
0.55;0.88;nineteen
0.31;0.40;twenty
0.29;0.12;twentyone
0.38;0.54;twentytwo
0.83;0.43;twentythree
0.24;0.67;twentyfour
0.13;0.70;twentyfive
0.35;0.29;twentysix
0.98;0.92;twentyseven
0.99;0.14;twentyeight
0.93;0.11;twentynine
0.24;0.63;thirty
0.03;0.67;thirtyone
0.32;0.80;thirtytwo
0.48;0.70;thirtythree
0.20;0.14;thirtyfour
0.93;0.91;thirtyfive
0.49;0.30;thirtysix
0.95;0.04;thirtyseven
0.29;0.59;thirtyeight
0.05;0.10;thirtynine
0.38;0.69;forty
0.09;0.67;fortyone
0.89;0.12;fortytwo
0.16;0.18;fortythree
0.38;0.20;fortyfour
0.12;0.92;fortyfive
0.03;0.72;fortysix
0.43;0.12;fortyseven
0.29;0.51;fortyeight
0.98;0.43;fortynine
0.13;0.50;fifty
0.96;0.53;fiftyone
0.93;0.14;fiftytwo
0.20;0.84;fiftythree
0.52;0.21;fiftyfour
0.24;0.53;fiftyfive
0.85;0.29;fiftysix
0.16;0.14;fiftyseven
0.45;0.58;fiftyeight
0.16;0.69;fiftynine
0.62;0.75;sixty
0.99;0.11;sixtyone
0.91;0.95;sixtytwo
0.07;0.20;sixtythree
0.39;0.35;sixtyfour
0.79;0.54;sixtyfive
0.85;0.65;sixtysix
0.25;0.11;sixtyseven
0.87;0.46;sixtyeight
0.58;0.50;sixtynine
0.28;0.67;seventy
0.46;0.90;seventyone
0.66;0.96;seventytwo
0.54;0.35;seventythree
0.75;0.18;seventyfour
0.93;0.94;seventyfive
0.03;0.33;seventysix
0.91;0.84;seventyseven
0.70;0.23;seventyeight
0.44;0.44;seventynine
0.94;0.21;eighty
0.28;0.96;eightyone
0.19;0.34;eightytwo
0.79;0.26;eightythree
0.64;0.05;eightyfour
0.51;0.84;eightyfive
0.50;0.26;eightysix
0.38;0.09;eightyseven
0.41;0.22;eightyeight
0.98;0.39;eightynine
0.19;0.67;ninety
0.24;0.63;ninetyone
0.92;0.24;ninetytwo
0.55;0.11;ninetythree
0.86;0.98;ninetyfour
0.06;0.12;ninetyfive
0.75;0.49;ninetysix
0.81;0.47;ninetyseven
0.51;0.09;ninetyeight
0.77;0.80;ninetynine
0.49;0.98;onehundred
